test_number,timestamp,result,confidence_pct,num_detections,image_size_bytes,saved_image
77,2026-07-02 22:36:30,clear,0.0,0,6780,20260702_223630_clear.jpg
78,2026-07-02 22:36:32,monkey,72.2,1,6765,20260702_223632_monkey.jpg
79,2026-07-02 22:50:47,clear,0.0,0,8882,20260702_225047_clear.jpg
80,2026-07-02 22:50:49,clear,0.0,0,8821,20260702_225049_clear.jpg
81,2026-07-02 22:50:51,clear,0.0,0,8781,20260702_225051_clear.jpg
82,2026-07-02 22:50:53,clear,0.0,0,8805,20260702_225053_clear.jpg
83,2026-07-02 22:50:56,clear,0.0,0,8803,20260702_225056_clear.jpg
84,2026-07-02 22:51:00,clear,0.0,0,8768,20260702_225100_clear.jpg
85,2026-07-02 22:51:02,clear,0.0,0,7683,20260702_225102_clear.jpg
86,2026-07-02 22:51:04,monkey,55.8,1,5331,20260702_225104_monkey.jpg
87,2026-07-02 22:51:36,monkey,83.0,2,3817,20260702_225136_monkey.jpg
88,2026-07-02 22:52:09,clear,0.0,0,7316,20260702_225209_clear.jpg
89,2026-07-02 22:52:13,clear,0.0,0,6797,20260702_225213_clear.jpg
